roi_number,Area,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RepresentativeWidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,numBlobs,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,Area_over_PerimeterSquared,Area_over_Perimeter,summedConvexPerimeter_over_Perimeter
2,121,501.4524231,24,9,158.413235,52.82646996,0.9540102288,12.41217084,0.5601851852,24.60890238,7.377110426,-2.495478267,53.59188309,5.343831539,0.7638250681,390.473999,24.7386288,9,1,121,501.4524231,158.413235,52.82646996,24.60890238,7.377110426,53.59188309,390.473999,0.04212959998,2.257804597,0.9857177414
3,641,10653.40249,36,26,748.5821773,100.1643546,0.6429280616,28.56827871,0.6848290598,34.0188855,26.05596821,-12.28460723,113.6396103,18.88235294,0.8562854145,2868.235758,36.12447636,26,1,641,10653.40249,748.5821773,100.1643546,34.0188855,26.05596821,113.6396103,2868.235758,0.04963620368,5.640638843,0.8814211375
4,155,654.9881592,29,14,237.9817694,67.96353878,0.9680670141,14.04820734,0.381773399,34.36741043,8.615619592,14.85340595,76.04772721,5.446692944,0.6513103941,542.4586792,31.78039463,11.05184064,1,155,654.9881592,237.9817694,67.96353878,34.36741043,8.615619592,76.04772721,542.4586792,0.02680150735,2.03819372,0.8936958575
5,567,4807.731445,27,41,832.8874257,107.7748515,0.8121268727,26.86869595,0.512195122,39.92192217,23.29367846,85.05165426,133.0599205,10.83492661,0.6807642695,1872.619629,41.43602942,26.94865283,1,567,4807.731445,832.8874257,107.7748515,39.92192217,23.29367846,133.0599205,1872.619629,0.03202495583,4.261238078,0.8099723121
6,95,604.6256861,11,13,105.8963638,34.79272764,0.6458903295,10.99807968,0.6643356643,12.88476551,9.836619212,57.6587053,37.21320344,7.230769231,0.897103513,400.4657564,13.45362371,10.98870801,1,95,604.6256861,105.8963638,34.79272764,12.88476551,9.836619212,37.21320344,400.4657564,0.06860084908,2.552857352,0.9349565324
7,339,3570.420051,27,16,352.4989618,67.99792367,0.8177750673,20.77566378,0.7847222222,27.47117291,15.81070272,-3.597187626,70.28427125,12.55555556,0.96170496,1263.359838,28.15920205,16,1,339,3570.420051,352.4989618,67.99792367,27.47117291,15.81070272,70.28427125,1263.359838,0.06862516567,4.823269758,0.9674699966
8,1804,52151.61615,57,59,2441.130413,180.2608255,0.4308888283,47.92623643,0.5364258103,53.05822877,47.88001192,-31.60800887,225.492424,31.61403509,0.7390018946,9473.404166,62.96630778,53.780178,1,1804,52151.61615,2441.130413,180.2608255,53.05822877,47.88001192,225.492424,9473.404166,0.03547910229,8.000268779,0.7994096752
9,121,547.9461187,25,8,137.5590117,51.11802335,0.9521845827,12.41217084,0.605,23.02344971,7.034201602,3.826985037,53.38477631,4.84,0.8796224873,423.9294398,25.17926182,8,1,121,547.9461187,137.5590117,51.11802335,23.02344971,7.034201602,53.38477631,423.9294398,0.04245711848,2.266563773,0.9575393377
10,1048,20735.03511,45,39,1196.606616,128.2132314,0.7277147895,36.52882482,0.5971509972,45.57975557,31.26223646,29.8215203,139.1959595,23.11111111,0.8758099665,4513.606566,48.84660985,34.54988107,1,1048,20735.03511,1196.606616,128.2132314,45.57975557,31.26223646,139.1959595,4513.606566,0.05408888447,7.528954172,0.921098801
11,107,311.2348633,37,6,154.4992238,73.99844753,0.9909166835,11.67204486,0.481981982,34.11199621,4.587286891,3.108037974,64.76345597,3.787978649,0.6925601139,342.7581177,37.0123601,5.41608169,1,107,311.2348633,154.4992238,73.99844753,34.11199621,4.587286891,64.76345597,342.7581177,0.02551078049,1.652166309,1.142595719
13,101,260.3439636,31,22,396.0474432,79.09488633,0.7713483543,11.34007028,0.1480938416,27.85815493,17.72929655,25.06525095,75.31980515,3.372549057,0.2550199521,429.5099487,31.57529666,21.00285956,1,101,260.3439636,396.0474432,79.09488633,27.85815493,17.72929655,75.31980515,429.5099487,0.01780340199,1.340948769,1.050120698
14,1855,30333.02539,65,53,2555.987621,190.9752419,0.7933888884,48.59896455,0.5384615385,68.94397353,41.96723767,-5.535537545,227.6639969,20.84192657,0.7257468639,6026.524902,70.80094928,48.93404774,1,1855,30333.02539,2555.987621,190.9752419,68.94397353,41.96723767,227.6639969,6026.524902,0.03578946461,8.147972561,0.838846917
15,176,1256.898861,23,11,188.8674066,51.73481326,0.8589720794,14.96964127,0.6956521739,21.27139617,10.89143192,1.942196094,54.04163056,7.652173913,0.9318706872,633.9291574,23.02088852,11,1,176,1256.898861,188.8674066,51.73481326,21.27139617,10.89143192,54.04163056,633.9291574,0.06026369819,3.256748514,0.9573140692
16,202,1540.296698,20,17,213.2055614,54.41112278,0.8542291466,16.03728119,0.5941176471,22.42367293,11.65799327,-38.72058837,56.73401872,8.695652174,0.9474424526,755.3436577,24.41311099,12.02081528,1,202,1540.296698,213.2055614,54.41112278,22.42367293,11.65799327,56.73401872,755.3436577,0.0627573034,3.560474026,0.959056383
17,638,7495.316473,46,19,677.4406158,105.8812316,0.9227606202,28.50134785,0.7299771167,46.33819845,17.85751993,-5.355643155,111.0121933,13.84782609,0.9417799658,2295.6879,47.07390654,18.76461734,1,638,7495.316473,677.4406158,105.8812316,46.33819845,17.85751993,111.0121933,2295.6879,0.05177013676,5.747116429,0.9537801969
18,205,1579.959305,26,14,236.5525997,59.10519935,0.8452862411,16.15593101,0.5631868132,22.73672121,12.1485425,-0.2201777851,61.35533906,7.884615385,0.8666148682,770.2688581,26.30563472,13.15281736,1,205,1579.959305,236.5525997,59.10519935,22.73672121,12.1485425,61.35533906,770.2688581,0.05445642665,3.341192521,0.9633260977
19,299,2631.345647,30,14,317.5423223,69.08464453,0.8928084074,19.51149979,0.7119047619,29.34663285,13.21879808,-3.25162781,71.87005769,9.966666667,0.9416067687,1076.821428,30.41282254,14,1,299,2631.345647,317.5423223,69.08464453,29.34663285,13.21879808,71.87005769,1076.821428,0.05788622141,4.160286072,0.9612437606
20,986,11920.89844,55,37,1353.13808,143.2761598,0.8698503878,35.43182455,0.4845208845,57.03879056,28.13812644,29.51789907,170.509668,15.4223156,0.7286765591,3230.914307,62.17679293,33.89258681,1,986,11920.89844,1353.13808,143.2761598,57.03879056,28.13812644,170.509668,3230.914307,0.03391399075,5.782663304,0.8402817358
21,352,4202.534673,24,29,483.3370649,81.67412971,0.6444244412,21.17026971,0.5057471264,26.26747283,20.08589573,-63.49886755,90.81118318,13.5,0.7282702395,1815.213571,30.08240132,22.60241421,1,352,4202.534673,483.3370649,81.67412971,26.26747283,20.08589573,90.81118318,1815.213571,0.04268389031,3.876174582,0.89938405
22,1715,27571.36133,66,55,2407.962872,183.9257432,0.8432816067,46.72906825,0.4724517906,68.1295372,36.61771741,22.51698946,244.0487732,20.4915638,0.7122202839,5628.262695,69.52579792,42.79614509,1,1715,27571.36133,2407.962872,183.9257432,68.1295372,36.61771741,244.0487732,5628.262695,0.02879458784,7.027283839,0.7536433834
23,500,7524.638004,28,23,523.4156928,79.83138557,0.6021664056,25.23132522,0.7763975155,28.34261474,22.62791042,-8.127370879,84.18376618,17.82142857,0.9552636784,2028.788145,28.65282736,23,1,500,7524.638004,523.4156928,79.83138557,28.34261474,22.62791042,84.18376618,2028.788145,0.07055264533,5.939387398,0.9482990509
25,520,4097.512207,50,22,741.932062,115.8641241,0.9336582044,25.73100393,0.4727272727,47.44225575,16.99216812,-0.69283967,138.8528137,10.0741539,0.7008727977,1745.089478,51.19440864,21.70392362,1,520,4097.512207,741.932062,115.8641241,47.44225575,16.99216812,138.8528137,1745.089478,0.02697080903,3.744972723,0.8344384311
