roi_number,Area,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RepresentativeWidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,numBlobs,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,Area_over_PerimeterSquared,Area_over_Perimeter,summedConvexPerimeter_over_Perimeter
12,437,4547.978964846823,37,19,480.69255406878267,86.38510813756581,0.8992987180011383,23.58825303088947,0.6216216216216216,36.64548337813504,16.026348852347173,14.077729938056962,91.01219330881975,11.526315789473685,0.9091049909158138,1664.7024138300787,38.32744602372073,18.083660724093612,1,437,4547.978964846823,480.69255406878267,86.38510813756581,36.64548337813504,16.026348852347173,91.01219330881975,1664.7024138300787,0.05275726532687014,4.801554430373798,0.9491597224170452
13,185,1640.3040642555707,18,16,205.09237629866297,51.18475259732595,0.633809979499708,15.347615963921077,0.6423611111111112,17.940514284526586,13.87678670483014,34.53830989560987,54.66295090390226,10.055555555555555,0.9020325540067675,762.2932283395429,20.518282565162533,14.774972382133724,1,185,1640.3040642555707,205.09237629866297,51.18475259732595,17.940514284526586,13.87678670483014,54.66295090390226,762.2932283395429,0.06191353239919793,3.3843763818245183,0.9363700962157897
14,99,647.1680866394972,13,11,107.90885218326389,35.81770436652773,0.5213111414713364,11.227230955528665,0.6923076923076923,12.405306030717679,10.586274845393685,-28.38681626628238,37.55634918610404,7.384615384615385,0.9174409512934695,390.34613237027855,14.421994098426474,11.0,1,99,647.1680866394972,107.90885218326389,35.81770436652773,12.405306030717679,10.586274845393685,37.55634918610404,390.34613237027855,0.07018890351292224,2.6360389693210724,0.953705702038269
15,228,1687.297054365518,27,13,245.95549192180113,60.910983843602246,0.9041017893763461,17.03815178355966,0.6495726495726496,26.272381240365156,11.22663931396983,10.518116513125364,64.5269119345812,8.214285714285714,0.926996987212996,844.9182942539097,27.89173062552249,12.130000650388618,1,228,1687.297054365518,245.95549192180113,60.910983843602246,26.272381240365156,11.22663931396983,64.5269119345812,844.9182942539097,0.05475869428315925,3.5334094436620713,0.9439624804198773
16,218,2189.6900795520855,18,17,237.42737474112855,53.854749482256985,0.44418917273961545,16.66031874701878,0.7124183006535948,17.850001115507478,15.992405431270155,-49.22502101424187,56.45584412271571,11.263157894736842,0.918175506247708,904.6429582276046,20.591250930972496,16.548669230359184,1,218,2189.6900795520855,237.42737474112855,53.854749482256985,17.850001115507478,15.992405431270155,56.45584412271571,904.6429582276046,0.06839725665643674,3.8614248602171726,0.9539269196860323
17,171,1296.9541671569862,21,14,186.22756006263285,50.45512012526577,0.8182597577412084,14.755472278097805,0.5816326530612245,19.856729920063344,11.414614361269868,-18.24021384168701,52.90559159102155,8.65,0.9182314365418768,706.571238035409,21.09440014542197,11.662270849168157,1,171,1296.9541671569862,186.22756006263285,50.45512012526577,19.856729920063344,11.414614361269868,52.90559159102155,706.571238035409,0.0610932121941741,3.2321725333285927,0.9536821838285305
18,215,1960.353815840031,20,14,224.92096955438677,51.841939108773595,0.6885074198219597,16.545286401814263,0.7678571428571429,19.490168800803517,14.134841412752138,-5.714597265388107,54.04163056034261,10.55,0.9558913089604665,809.156229480661,20.124031933046542,14.0,1,215,1960.353815840031,224.92096955438677,51.841939108773595,19.490168800803517,14.134841412752138,54.04163056034261,809.156229480661,0.07361758585297884,3.978414377410987,0.9592963530381851
19,270,3054.9370562282747,20,18,282.76573255375774,57.53146510751566,0.4764727760842568,18.5411616971131,0.75,19.842459243779984,17.445276367955863,-11.62707046216076,59.698484809834994,12.714285714285714,0.9548540325644629,1101.095199688084,20.880325347597125,18.0,1,270,3054.9370562282747,282.76573255375774,57.53146510751566,19.842459243779984,17.445276367955863,59.698484809834994,1101.095199688084,0.07575950825019877,4.52272785247506,0.9637005912424375
20,11503,876197.7832684394,138,133,13174.712334125948,413.4246682518998,0.42635429787352075,121.02096712177017,0.6267298681486324,128.12873255933366,115.89964607276912,28.876031307312246,519.7188668141177,84.0,0.8731120428492563,54764.16978051689,140.8072031863209,121.18745686890912,1,11503,876197.7832684394,13174.712334125948,413.4246682518998,128.12873255933366,115.89964607276912,519.7188668141177,54764.16978051689,0.0425867162533548,22.133119912527928,0.7954775064953817
21,175,1305.7244466482578,20,12,186.9449517393207,48.8899034786414,0.8289914171839198,14.927053303604616,0.7291666666666666,20.055413164309872,11.216216950356449,3.18527491877785,51.21320343559643,8.75,0.9361044434300803,648.0245330657594,20.39577965045946,11.829734281151625,1,175,1305.7244466482578,186.9449517393207,48.8899034786414,20.055413164309872,11.216216950356449,51.21320343559643,648.0245330657594,0.06672278482092607,3.417087552823612,0.9546347464892191
22,389,5616.90586523075,23,21,406.3249870277002,69.64997405540038,0.31190377637243955,22.255115881567058,0.8053830227743272,22.89826267009922,21.755952964908374,12.558657328500175,73.698484809835,16.91304347826087,0.9573617484013625,1647.4186023166774,25.23848967224633,21.0,1,389,5616.90586523075,406.3249870277002,69.64997405540038,22.89826267009922,21.755952964908374,73.698484809835,1647.4186023166774,0.07161969760965582,5.2782631963701965,0.9450665673130046
23,945,13857.041596208977,57,27,1064.3924319768223,130.78486395364413,0.9156799970891558,34.68733731168665,0.6140350877192983,55.89935362931705,22.466404544245496,8.97002110001867,140.36753236814712,16.57894736842105,0.8878304388588305,3598.4688102973078,57.21887650496779,24.164633755425022,1,945,13857.041596208977,1064.3924319768223,130.78486395364413,55.89935362931705,22.466404544245496,140.36753236814712,3598.4688102973078,0.047962131797275785,6.732326087499447,0.9317315888308831
24,168,1602.8667518002924,15,16,181.02759234860739,46.055184697214756,0.29629493925631045,14.625465582862905,0.7,15.11730167044848,14.438481793479355,52.3404472573132,49.04163056034261,11.2,0.9280353222423686,745.7351547038936,16.999986395171028,14.570718563991214,1,168,1602.8667518002924,181.02759234860739,46.055184697214756,15.11730167044848,14.438481793479355,49.04163056034261,745.7351547038936,0.06985210191128431,3.4256609757966077,0.9391038627997244
25,140,1157.4150934600395,15,13,160.7877060702828,45.57541214056568,0.39705330196021216,13.351162356249091,0.717948717948718,14.604100414336685,13.403578402285852,53.95784368087831,48.970562748477136,8.625,0.870713336371649,614.3549021258148,17.804426779076348,13.0,1,140,1157.4150934600395,160.7877060702828,45.57541214056568,14.604100414336685,13.403578402285852,48.970562748477136,614.3549021258148,0.058379160587570936,2.858860346757066,0.93066956111267
26,228,1555.054878890865,24,17,277.2894090286038,61.57881805720768,0.8822743736250249,17.03815178355966,0.5588235294117647,25.85585390999452,12.171268831380372,24.548629214623304,63.73401871576773,8.73037285783132,0.8222456126208579,736.744559521355,24.351472474441543,13.994587609060922,1,228,1555.054878890865,277.2894090286038,61.57881805720768,25.85585390999452,12.171268831380372,63.73401871576773,736.744559521355,0.05612963781576251,3.577367387059072,0.9661844537346449
27,119,465.07828860677677,24,8,150.40675087558304,51.813501751166086,0.964382636824557,12.309163489997376,0.6197916666666666,25.31861703862025,6.697055615139991,4.438794594166637,56.248737341529164,5.046078799608405,0.7911878908842143,368.4755155868634,24.186715669607175,7.701486507102091,1,119,465.07828860677677,150.40675087558304,51.813501751166086,25.31861703862025,6.697055615139991,56.248737341529164,368.4755155868634,0.03761156507754695,2.115603045050769,0.9211495973068095
28,213,2174.5057150597354,15,18,228.38552492750426,53.771049855008556,0.487374542935118,16.46815177937675,0.7888888888888889,18.105300723373777,15.809422265605972,84.18605970491049,57.21320343559643,11.833333333333334,0.9326335373820733,918.0462297213926,19.84941108021817,15.0,1,213,2174.5057150597354,228.38552492750426,53.771049855008556,18.105300723373777,15.809422265605972,57.21320343559643,918.0462297213926,0.06507093890830051,3.7229168655058644,0.9398363773763757
29,105,700.8369611383231,13,11,112.65222999643893,36.30445999287792,0.596845922965807,11.562445770562215,0.7342657342657343,13.07353143268014,10.489624703876443,-26.437647170574415,37.970562748477136,6.866666666666666,0.9320720948295402,444.428334186364,14.764619646667285,11.0,1,105,700.8369611383231,112.65222999643893,36.30445999287792,13.07353143268014,10.489624703876443,37.970562748477136,444.428334186364,0.07282747145182666,2.7653000745745118,0.9561211992923114
30,804,11730.183369728686,47,25,892.5660516415965,114.13210328319315,0.8848889078647613,31.99507140118726,0.6842553191489362,47.45281721858489,22.103623152837933,11.14493290290494,125.05382386916239,16.75,0.900773672179547,3188.429852363873,48.76316142191898,23.55727552322205,1,804,11730.183369728686,892.5660516415965,114.13210328319315,47.45281721858489,22.103623152837933,125.05382386916239,3188.429852363873,0.051411715628540904,6.4292316310230175,0.9126638414720041
